Municipios;Sexo;Periodo;Total
18004 Albondón;Total;2010;883
18004 Albondón;Total;2009;871
18004 Albondón;Total;2008;921
18004 Albondón;Total;2007;915
18004 Albondón;Total;2006;914
18004 Albondón;Total;2005;929
18004 Albondón;Total;2004;941
18004 Albondón;Total;2003;967
18004 Albondón;Total;2002;986
18004 Albondón;Total;2001;989
18004 Albondón;Total;2000;996
18004 Albondón;Total;1999;1.060
18004 Albondón;Total;1998;1.060
18004 Albondón;Total;1997;""
18004 Albondón;Total;1996;1.192
18004 Albondón;Hombres;2022;398
18004 Albondón;Hombres;2021;398
18004 Albondón;Hombres;2020;392
18004 Albondón;Hombres;2019;408
18004 Albondón;Hombres;2018;403
18004 Albondón;Hombres;2017;411
18004 Albondón;Hombres;2016;419
18004 Albondón;Hombres;2015;437
18004 Albondón;Hombres;2014;444
18004 Albondón;Hombres;2013;445
18004 Albondón;Hombres;2012;508
18004 Albondón;Hombres;2011;509
18004 Albondón;Hombres;2010;493
18004 Albondón;Hombres;2009;485
18004 Albondón;Hombres;2008;518
18004 Albondón;Hombres;2007;500
18004 Albondón;Hombres;2006;499
18004 Albondón;Hombres;2005;493
18004 Albondón;Hombres;2004;486
18004 Albondón;Hombres;2003;491
18004 Albondón;Hombres;2002;500
18004 Albondón;Hombres;2001;499
18004 Albondón;Hombres;2000;495
18004 Albondón;Hombres;1999;520
18004 Albondón;Hombres;1998;520
18004 Albondón;Hombres;1997;""
18004 Albondón;Hombres;1996;588
18004 Albondón;Mujeres;2022;326
18004 Albondón;Mujeres;2021;324
18004 Albondón;Mujeres;2020;320
18004 Albondón;Mujeres;2019;320
18004 Albondón;Mujeres;2018;326
18004 Albondón;Mujeres;2017;334
18004 Albondón;Mujeres;2016;343
18004 Albondón;Mujeres;2015;345
18004 Albondón;Mujeres;2014;353
18004 Albondón;Mujeres;2013;369
18004 Albondón;Mujeres;2012;381
18004 Albondón;Mujeres;2011;396
18004 Albondón;Mujeres;2010;390
18004 Albondón;Mujeres;2009;386
18004 Albondón;Mujeres;2008;403
18004 Albondón;Mujeres;2007;415
18004 Albondón;Mujeres;2006;415
18004 Albondón;Mujeres;2005;436
18004 Albondón;Mujeres;2004;455
18004 Albondón;Mujeres;2003;476
18004 Albondón;Mujeres;2002;486
18004 Albondón;Mujeres;2001;490
18004 Albondón;Mujeres;2000;501
18004 Albondón;Mujeres;1999;540
18004 Albondón;Mujeres;1998;540
18004 Albondón;Mujeres;1997;""
18004 Albondón;Mujeres;1996;604
18005 Albuñán;Total;2022;407
18005 Albuñán;Total;2021;403
18005 Albuñán;Total;2020;409
18005 Albuñán;Total;2019;406
18005 Albuñán;Total;2018;415
18005 Albuñán;Total;2017;418
18005 Albuñán;Total;2016;421
18005 Albuñán;Total;2015;420
18005 Albuñán;Total;2014;430
18005 Albuñán;Total;2013;423
18005 Albuñán;Total;2012;430
18005 Albuñán;Total;2011;431
18005 Albuñán;Total;2010;429
18005 Albuñán;Total;2009;436
18005 Albuñán;Total;2008;435
18005 Albuñán;Total;2007;441
18005 Albuñán;Total;2006;448
18005 Albuñán;Total;2005;462
18005 Albuñán;Total;2004;458
18005 Albuñán;Total;2003;446
18005 Albuñán;Total;2002;455
18005 Albuñán;Total;2001;460
18005 Albuñán;Total;2000;474
18005 Albuñán;Total;1999;478
18005 Albuñán;Total;1998;486
18005 Albuñán;Total;1997;""
18005 Albuñán;Total;1996;509
18005 Albuñán;Hombres;2022;210
18005 Albuñán;Hombres;2021;208
18005 Albuñán;Hombres;2020;211
18005 Albuñán;Hombres;2019;208
18005 Albuñán;Hombres;2018;214
18005 Albuñán;Hombres;2017;219
18005 Albuñán;Hombres;2016;221
18005 Albuñán;Hombres;2015;218
18005 Albuñán;Hombres;2014;222
18005 Albuñán;Hombres;2013;220
18005 Albuñán;Hombres;2012;226
18005 Albuñán;Hombres;2011;229
18005 Albuñán;Hombres;2010;224
18005 Albuñán;Hombres;2009;232
18005 Albuñán;Hombres;2008;228
18005 Albuñán;Hombres;2007;229
18005 Albuñán;Hombres;2006;229
18005 Albuñán;Hombres;2005;233
18005 Albuñán;Hombres;2004;228
18005 Albuñán;Hombres;2003;221
18005 Albuñán;Hombres;2002;225
18005 Albuñán;Hombres;2001;228
18005 Albuñán;Hombres;2000;237
18005 Albuñán;Hombres;1999;239
18005 Albuñán;Hombres;1998;243
18005 Albuñán;Hombres;1997;""
18005 Albuñán;Hombres;1996;256
18005 Albuñán;Mujeres;2022;197
18005 Albuñán;Mujeres;2021;195
18005 Albuñán;Mujeres;2020;198
18005 Albuñán;Mujeres;2019;198
18005 Albuñán;Mujeres;2018;201
18005 Albuñán;Mujeres;2017;199
18005 Albuñán;Mujeres;2016;200
18005 Albuñán;Mujeres;2015;202
18005 Albuñán;Mujeres;2014;208
18005 Albuñán;Mujeres;2013;203
18005 Albuñán;Mujeres;2012;204
18005 Albuñán;Mujeres;2011;202
18005 Albuñán;Mujeres;2010;205
18005 Albuñán;Mujeres;2009;204
18005 Albuñán;Mujeres;2008;207
18005 Albuñán;Mujeres;2007;212
18005 Albuñán;Mujeres;2006;219
18005 Albuñán;Mujeres;2005;229
18005 Albuñán;Mujeres;2004;230
18005 Albuñán;Mujeres;2003;225
18005 Albuñán;Mujeres;2002;230
18005 Albuñán;Mujeres;2001;232
18005 Albuñán;Mujeres;2000;237
18005 Albuñán;Mujeres;1999;239
18005 Albuñán;Mujeres;1998;243
18005 Albuñán;Mujeres;1997;""
18005 Albuñán;Mujeres;1996;253
18006 Albuñol;Total;2022;7.420
18006 Albuñol;Total;2021;7.473
18006 Albuñol;Total;2020;7.353
18006 Albuñol;Total;2019;7.233
18006 Albuñol;Total;2018;7.128
18006 Albuñol;Total;2017;6.998
18006 Albuñol;Total;2016;6.971
18006 Albuñol;Total;2015;6.948
18006 Albuñol;Total;2014;6.853
18006 Albuñol;Total;2013;6.878
18006 Albuñol;Total;2012;6.587
18006 Albuñol;Total;2011;6.686
18006 Albuñol;Total;2010;6.704
18006 Albuñol;Total;2009;6.704
18006 Albuñol;Total;2008;6.459
18006 Albuñol;Total;2007;6.190
18006 Albuñol;Total;2006;6.270
18006 Albuñol;Total;2005;6.215
18006 Albuñol;Total;2004;6.054
18006 Albuñol;Total;2003;5.939
18006 Albuñol;Total;2002;5.693
18006 Albuñol;Total;2001;5.536
18006 Albuñol;Total;2000;5.462
18006 Albuñol;Total;1999;5.547
18006 Albuñol;Total;1998;5.482
18006 Albuñol;Total;1997;""
18006 Albuñol;Total;1996;5.566
18006 Albuñol;Hombres;2022;4.118
